"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L1807","FeatureAccessor","org.eclipse.sed.ifl.ide.accessor.gui.FeatureAccessor","L1802","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\gui\FeatureAccessor.java","7","1","16","2","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","10","10","0","0","0","0","1","0","1","0","1","3","0","1","0","10","10","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","2","0","1","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"L748","PartAccessor","org.eclipse.sed.ifl.ide.accessor.gui.PartAccessor","L1802","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\gui\PartAccessor.java","12","1","56","2","0","0","0","0","0","0","0","0","2","2","2","10","1","4","4","1","5","0","0.0731707","3","0","0","5","0.0731707","3","0","0","0","0","0","38","45","1","1","1","1","4","0","4","0","4","19","0","4","0","38","45","1","1","1","1","4","0","4","0","4","19","0","4","0","0","0","12","2","1","1","0","0","1","0","0","2","11","0","0","0","0","0","0","0","0"
"L1577","CodeEntityAccessor","org.eclipse.sed.ifl.ide.accessor.source.CodeEntityAccessor","L1822","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\source\CodeEntityAccessor.java","37","1","182","2","0","0","0","0","0","0","0","0","2","2","2","19","3","2","4","3","15","0","0","0","0","0","11","0","0","0","0","0","0","0","110","133","1","10","1","10","12","0","10","0","12","47","0","10","0","120","146","3","11","3","11","14","1","11","0","14","49","1","11","0","0","0","43","3","5","3","0","5","1","0","0","0","34","0","0","0","0","0","0","0","8"
"L1402","EditorAccessor","org.eclipse.sed.ifl.ide.accessor.source.EditorAccessor","L1822","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\source\EditorAccessor.java","14","1","35","2","0","0","0","0","0","0","0","0","1","3","3","5","0","1","0","0","1","0","0.1","2","0","0","2","0.1","2","0","0","0","0","0","18","22","0","0","0","0","1","0","1","0","1","9","0","1","0","18","22","0","0","0","0","1","0","1","0","1","9","0","1","0","0","1","5","1","0","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","0"
"L1869","WrongSelectionException","org.eclipse.sed.ifl.ide.accessor.source.WrongSelectionException","L1822","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\accessor\source\WrongSelectionException.java","3","1","10","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","1","0","1","0","1","0","1","0","1","1","0","1","0","6","8","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L1972","ContextBasedOptionCreatorDialog","org.eclipse.sed.ifl.ide.gui.dialogs.ContextBasedOptionCreatorDialog","L1967","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\dialogs\ContextBasedOptionCreatorDialog.java","21","1","118","2","0","0","0","0","0","0","0","0","5","1","1","9","5","3","3","2","10","0","0","0","0","0","6","0.0266667","2","1","1","0","0","1","56","71","6","0","6","0","8","0","5","0","8","25","0","5","0","73","98","6","0","6","0","12","0","9","0","12","30","0","9","0","0","0","33","1","6","0","0","3","3","0","0","4","29","0","0","0","0","0","0","0","1"
"L2017","CustomInputDialog","org.eclipse.sed.ifl.ide.gui.dialogs.CustomInputDialog","L1967","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\dialogs\CustomInputDialog.java","26","1","151","2","0","0","0","0","0","0","0","0","2","2","2","11","0","1","1","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","94","120","8","0","8","0","7","0","1","1","7","57","0","1","1","98","126","8","0","8","0","8","0","2","1","8","59","0","2","1","0","0","24","1","6","0","0","1","1","0","0","5","22","0","1","0","0","0","0","0","1"
"L2059","CustomWarningDialog","org.eclipse.sed.ifl.ide.gui.dialogs.CustomWarningDialog","L1967","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\dialogs\CustomWarningDialog.java","13","1","58","2","0","0","0","0","0","0","0","0","2","0","0","5","1","1","1","1","6","0","0","0","0","0","2","0","0","0","0","0","0","0","38","46","3","1","3","1","5","0","1","0","5","19","0","1","0","38","46","3","1","3","1","5","0","1","0","5","19","0","1","0","0","0","14","0","2","0","0","0","1","0","0","2","13","0","0","0","0","0","0","0","0"
"L2085","CardHolderComposite","org.eclipse.sed.ifl.ide.gui.element.CardHolderComposite","L2079","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\element\CardHolderComposite.java","26","1","210","2","0","0","0","0","0","0","0","0","1","2","2","16","9","5","11","14","22","0.125","0.0163934","2","1","1","7","0.0133333","2","0","0","0","0","0","120","143","6","2","6","2","8","0","7","3","8","75","0","7","3","148","185","6","2","6","2","16","0","15","3","16","79","0","15","3","0","0","53","3","13","2","0","4","4","0","1","6","47","4","0","0","0","0","0","0","1"
"L2144","CodeElementUI","org.eclipse.sed.ifl.ide.gui.element.CodeElementUI","L2079","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\gui\element\CodeElementUI.java","25","1","328","2","0.498166","5","15","14","0.305921","0.308017","93","73","3","2","2","34","8","4","4","6","32","0.0416667","0.00858369","2","1","1","23","0.0083682","2","0","0","0","0","0","231","295","18","16","18","16","26","0","23","3","26","139","0","23","3","237","304","18","16","18","16","27","0","24","3","27","141","0","24","3","0","0","113","1","20","0","39","17","1","0","0","1","60","0","1","0","2","0","0","0","13"
