"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L223","void loadMethodsScoreMap(Map<IMethodDescription, Defineable<Double>> map)","org.eclipse.sed.ifl.bi.faced.MethodScoreHandler.loadMethodsScoreMap(Ljava/util/Map;)V","L132","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\bi\faced\MethodScoreHandler.java","57","2","59","3","0","0","0","0","0","0","0","0","58.0579","9.33333","953.741","96.8918","25","17","52.9856","102.187","128.913","75.3878","110.383","64.5516","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L319","void init()","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.init()V","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","42","2","70","3","0","0","0","0","0","0","0","0","188.987","32.3462","30000.4","965.497","172","42","1666.69","927.479","82.46","48.2222","43.3656","25.36","1","0","0","0","11","0","0","0","0","0","26","29","23","0","26","29","23","0","0","3","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0"
"L362","void teardown()","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.teardown()V","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","72","2","78","3","0","0","0","0","0","0","0","0","59.7154","6.5","894.449","92.8333","33","18","49.6916","137.608","113.639","66.4558","88.3479","51.6654","1","0","0","0","5","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L366","void createNewOption(List<IMethodDescription> selected, List<IMethodDescription> context, List<IMethodDescription> other, Map<IMethodDescription, Defineable<Double>> all)","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.createNewOption(Ljava/util/List;Ljava/util/List;Ljava/util/List;Ljava/util/Map;)V","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","79","2","107","3","0","0","0","0","0","0","0","0","152.148","25.6538","21220.6","766.487","160","36","1178.92","827.188","83.6904","48.9418","45.1408","26.3981","1","0","0","0","5","0","0","0","0","0","25","29","13","4","25","29","13","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L395","void createContextBasedUserFeedback(Option option)","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.createContextBasedUserFeedback(Lorg/eclipse/sed/ifl/model/user/interaction/Option;)V","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","109","2","145","3","0","0","0","0","0","0","0","0","262.237","48.9706","63691.4","1594.85","226","54","3538.41","1300.6","79.5013","46.492","53.2833","31.1598","1","0","0","0","13","0.0344828","1","0","0.0344828","1","28","37","17","1","28","37","17","0","0","3","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0"
"L466","INonGenericListenerCollection<IUserFeedback> eventContextBasedFeedbackOption()","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.eventContextBasedFeedbackOption()Lorg/eclipse/sed/ifl/util/event/INonGenericListenerCollection;","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","149","2","151","3","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L477","INonGenericListenerCollection<Boolean> eventContextBasedOptionNeeded()","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.eventContextBasedOptionNeeded()Lorg/eclipse/sed/ifl/util/event/INonGenericListenerCollection;","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","154","2","156","3","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L492","INonGenericListenerCollection<Option> eventContextBasedOptionProvided()","org.eclipse.sed.ifl.control.feedback.ContextBasedOptionCreatorControl.eventContextBasedOptionProvided()Lorg/eclipse/sed/ifl/util/event/INonGenericListenerCollection;","L293","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ContextBasedOptionCreatorControl.java","161","2","163","3","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L331","ScoreSetterControl(String name)","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.<init>(Ljava/lang/String;)V","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","25","2","27","3","0","0","0","0","0","0","0","0","24.4064","4.66667","186.028","32.5876","12","10","10.3349","39.8631","133.808","78.2504","117.445","68.6815","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L508","String getName()","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.getName()Ljava/lang/String;","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","29","2","31","3","0","0","0","0","0","0","0","0","10","2","31.0196","9.87242","6","6","1.72331","15.5098","138.717","81.121","124.527","72.8228","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L509","void init()","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.init()V","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","33","2","43","3","0","0","0","0","0","0","0","0","81.0965","8.5","2046.88","161.211","54","22","113.716","240.809","106.658","62.3732","101.803","59.5339","1","0","0","0","10","0.1","1","0","0.1","1","9","11","6","0","9","11","6","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L529","void teardown()","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.teardown()V","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","45","2","50","3","0","0","0","0","0","0","0","0","52.8606","6.5","754","82.8414","29","16","41.8889","116","117.025","68.4356","93.2321","54.5217","1","0","0","0","6","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L387","void setCurrentRelatedScores(Map<IMethodDescription, Defineable<Double>> scores)","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.setCurrentRelatedScores(Ljava/util/Map;)V","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","52","2","54","3","0","0","0","0","0","0","0","0","45.0196","9","582.525","69.7498","17","14","32.3625","64.725","131.288","76.7764","113.809","66.555","1","0","0","1","2","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L389","void setTableContents()","org.eclipse.sed.ifl.control.feedback.ScoreSetterControl.setTableContents()V","L306","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\feedback\ScoreSetterControl.java","56","2","58","3","0","0","0","0","0","0","0","0","28.5293","4.5","209.281","35.2496","14","10","11.6267","46.507","133.007","77.7816","116.289","68.0052","1","0","0","1","4","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
